day_of_year,temp_C,anomaly_C
252.000000,14.600000,2.206667
253.000000,14.600000,2.133333
254.000000,14.900000,2.390000
255.000000,14.400000,1.886667
256.000000,12.900000,0.530000
257.000000,12.200000,0.093333
258.000000,12.100000,0.273333
259.000000,9.900000,-1.726667
260.000000,8.700000,-2.803333
261.000000,9.000000,-2.350000
262.000000,9.200000,-2.126667
263.000000,12.400000,1.160000
264.000000,11.500000,0.350000
265.000000,12.800000,1.723333
266.000000,12.500000,1.466667
267.000000,12.600000,1.716667
268.000000,12.000000,1.333333
269.000000,12.100000,1.690000
270.000000,10.100000,-0.013333
271.000000,8.900000,-0.983333
272.000000,8.800000,-0.893333
273.000000,9.100000,-0.463333
274.000000,9.200000,-0.316667
275.000000,8.300000,-1.170000
276.000000,11.200000,1.743333
277.000000,8.800000,-0.510000
278.000000,7.700000,-1.370000
279.000000,8.100000,-0.563333
280.000000,9.300000,1.016667
281.000000,8.600000,0.700000
282.000000,8.100000,0.590000
283.000000,6.900000,-0.260000
284.000000,6.000000,-0.770000
285.000000,7.500000,1.143333
286.000000,7.200000,1.070000
287.000000,8.300000,2.396667
288.000000,10.700000,5.050000
289.000000,8.500000,3.166667
290.000000,8.300000,3.270000
291.000000,4.600000,-0.170000
292.000000,2.000000,-2.503333
293.000000,0.200000,-4.276667
294.000000,0.100000,-4.400000
295.000000,1.300000,-3.180000
296.000000,0.800000,-3.500000
297.000000,2.100000,-2.110000
298.000000,0.300000,-3.863333
299.000000,-0.300000,-4.473333
300.000000,3.300000,-0.870000
301.000000,2.100000,-1.923333
302.000000,1.200000,-2.663333
303.000000,-0.400000,-4.046667
304.000000,0.100000,-3.293333
305.000000,0.500000,-2.726667
306.000000,3.200000,0.056667
307.000000,8.000000,4.813333
308.000000,8.400000,5.146667
309.000000,7.500000,4.213333
310.000000,3.900000,0.586667
311.000000,5.900000,2.596667
312.000000,6.700000,3.373333
313.000000,7.200000,3.740000
314.000000,5.900000,2.310000
315.000000,3.100000,-0.576667
316.000000,2.400000,-1.320000
317.000000,1.800000,-1.980000
318.000000,3.100000,-0.733333
319.000000,3.500000,-0.450000
320.000000,5.800000,1.823333
321.000000,5.900000,1.893333
322.000000,4.000000,-0.066667
323.000000,1.200000,-2.643333
324.000000,0.900000,-2.663333
325.000000,1.000000,-2.273333
326.000000,1.500000,-1.616667
327.000000,6.100000,3.006667
328.000000,4.200000,1.190000
329.000000,2.300000,-0.536667
330.000000,4.600000,1.913333
331.000000,3.900000,1.263333
332.000000,2.800000,0.190000
333.000000,3.100000,0.496667
334.000000,0.900000,-1.656667
335.000000,1.400000,-1.120000
336.000000,5.000000,2.670000
337.000000,1.300000,-0.900000
338.000000,0.000000,-2.100000
339.000000,-1.200000,-3.346667
340.000000,-0.800000,-3.000000
341.000000,5.200000,3.036667
342.000000,4.200000,2.046667
